Species ID,Species Name,Continent
31529,Lophognathus gilberti,Oceania
3117,Patagioenas flavirostris,North America
116872,Cincloramphus cruralis,Oceania
13392,Dicaeum agile,Asia
13456,Orthonyx temminckii,Oceania
508972,Bolemoreus frenatus,Oceania
11114,Lochmias nematura,South America
73849,Liolaemus nitidus,South America
11896,Hirundo smithii,Africa
7920,Pachycephala rufiventris,Oceania
41301,Tadarida brasiliensis,North America
43138,Lepus tolai,Asia
13532,Pardalotus striatus,Oceania
1289491,Neophedina cincta,Africa
144460,Micronisus gabar,Africa
6364,Selasphorus flammula,North America
1224,Ptilopachus petrosus,Africa
37721,Saproscincus mustelinus,Oceania
31150,Agama atra,Africa
517047,Sclerophrys mauritanica,Africa
476523,Papurana daemeli,Oceania
5947,Thalurania glaucopis,South America
339674,Ceratopipra erythrocephala,South America
24832,Microhyla butleri,Asia
25003,Breviceps fuscus,Africa
13851,Passer montanus,Europe
318747,Plestiodon finitimus,Asia
46296,Tupaia belangeri,Asia
22038,Limnodynastes dumerilii,Oceania
14881,Mimus longicaudatus,South America
46116,Paraxerus ochraceus,Africa
558619,Crithagra striolata,Africa
14658,Spizixos semitorques,Asia
144764,Calendulauda sabota,Africa
46014,Sciurus alleni,North America
29084,Philothamnus hoplogaster,Africa
12792,Cossypha heuglini,Africa
7114,Chloephaga poliocephala,South America
43236,Ornithorhynchus anatinus,Oceania
3340,Treron waalia,Africa
22973,Leptodactylus fuscus,South America
42336,Pelea capreolus,Africa
65373,Dendropsophus microcephalus,North America
46180,Cynomys gunnisoni,North America
7576,Thryomanes bewickii,North America
559131,Sanzinia madagascariensis,Africa
1289689,Campocolinus coqui,Africa
47062,Orycteropus afer,Africa
64970,Anaxyrus boreas,North America
70725,Lithobates brownorum,North America
14069,Neochmia temporalis,Oceania
144531,Sternula superciliaris,South America
4793,Charadrius vociferus,North America
13522,Aphelocephala leucopsis,Oceania
23027,Thoropa miliaris,South America
10090,Phrygilus atriceps,South America
558436,Spatula smithii,Africa
117054,Phylloscopus trochiloides,Europe
5612,Phaethornis ruber,South America
65212,Craugastor augusti,North America
12735,Turdus viscivorus,Europe
67188,Smilisca fodiens,North America
14306,Chiroxiphia caudata,South America
13632,Baeolophus bicolor,North America
9612,Leucosticte australis,North America
43448,Macaca radiata,Asia
42328,Kobus ellipsiprymnus,Africa
144646,Ceyx azureus,Oceania
31236,Ctenophorus isolepis,Oceania
13092,Enicurus leschenaulti,Asia
201178,Iduna caligata,Europe
40281,Myotis emarginatus,Europe
37920,Morethia boulengeri,Oceania
44104,Dipodomys simulans,North America
13171,Psophocichla litsitsirupa,Africa
472770,Zosterops virens,Africa
9832,Diglossa plumbea,North America
8077,Artamus personatus,Oceania
14167,Petroica rosea,Oceania
979677,Cyornis tickelliae,Asia
3914,Gallinago hardwickii,Oceania
5261,Aviceda subcristata,Oceania
517053,Sclerophrys gutturalis,Africa
979682,Daphoenositta chrysoptera,Oceania
12746,Turdus albicollis,South America
30953,Trimeresurus stejnegeri,Asia
1078,Tympanuchus pallidicinctus,North America
12839,Oenanthe pileata,Africa
19765,Megascops asio,North America
73106,Notharchus hyperrhynchus,North America
74204,Corynorhinus rafinesquii,North America
27409,Desmognathus brimleyorum,North America
18204,Melanerpes erythrocephalus,North America
3045,Columba leuconota,Asia
40523,Lasiurus cinereus,North America
12716,Turdus merula,Europe
5367,Gyps himalayensis,Asia
9477,Geospiza magnirostris,South America
2071,Penelope montagnii,South America
27919,Atractus crassicaudatus,South America
73903,Phoenicolacerta troodica,Asia
30822,Causus defilippii,Africa
74321,Eudorcas thomsonii,Africa
26916,Contia tenuis,North America
585,Tetraogallus tibetanus,Asia
26691,Scaphiopus couchii,North America
32055,Elgaria multicarinata,North America
37213,Chalcides striatus,Europe
1067750,Sturnira parvidens,North America
18206,Melanerpes chrysogenys,North America
12821,Oenanthe lugens,Asia
145300,Acanthis flammea,Europe
980037,Yuhina flavicollis,Asia
12038,Lanius collurio,Europe
12832,Oenanthe leucopyga,Africa
1289606,Urile urile,North America
539892,Liodytes alleni,North America
26799,Amphiuma tridactylum,North America
16006,Myiarchus ferox,South America
42220,Odocoileus hemionus,North America
871,Alectoris barbara,Africa
42087,Cerdocyon thous,South America
20012,Athene brama,Asia
27236,Chironius fuscus,South America
38992,Tropidurus catalanensis,South America
508981,Nesoptilotis leucotis,Oceania
12781,Turdus fuscater,South America
144815,Poecile atricapillus,North America
41824,Galictis cuja,South America
20504,Dromaius novaehollandiae,Oceania
42056,Vulpes bengalensis,Asia
5235,Buteogallus meridionalis,South America
22084,Adelotus brevis,Oceania
15256,Chamaea fasciata,North America
73172,Peucaea aestivalis,North America
41886,Crocuta crocuta,Africa
19975,Athene cunicularia,North America
24266,Pseudacris ornata,North America
16972,Camptostoma obsoletum,South America
12953,Myadestes melanops,North America
43455,Macaca nemestrina,Asia
10834,Xiphocolaptes promeropirhynchus,South America
30395,Dipsas brevifacies,North America
5165,Circus ranivorus,Africa
144468,Aquila spilogaster,Africa
13091,Enicurus scouleri,Asia
27163,Plethodon angusticlavius,North America
14104,Macronyx croceus,Africa
2203,Merops hirundineus,Africa
35990,Gallotia stehlini,Europe
67185,Silverstoneia flotator,North America
25094,Hamptophryne boliviana,South America
4661,Falco dickinsoni,Africa
12024,Lanius ludovicianus,North America
34154,Pachydactylus affinis,Africa
180008,Otospermophilus variegatus,North America
14172,Petroica rodinogaster,Oceania
144797,Cecropis senegalensis,Africa
550880,Scleroptila afra,Africa
3069,Columba leucomela,Oceania
18513,Selenidera maculirostris,South America
30929,Vipera aspis,Europe
4636,Fregata minor,North America
12526,Lichmera indistincta,Oceania
25806,Tomopterna delalandii,Africa
42332,Hippotragus equinus,Africa
43115,Sylvilagus audubonii,North America
66020,Lithobates yavapaiensis,North America
472766,Falco tinnunculus,Europe
42138,Potamochoerus larvatus,Africa
12641,Phylidonyris pyrrhopterus,Oceania
67105,Rhinella crucifer,South America
27844,Chioglossa lusitanica,Europe
14978,Onychognathus tristramii,Asia
5401,Torgos tracheliotos,Africa
20553,Crypturellus cinnamomeus,North America
343021,Anguis fragilis,Europe
19050,Poicephalus cryptoxanthus,Africa
29273,Oligodon arnensis,Asia
26699,Spea bombifrons,North America
144795,Cecropis abyssinica,Africa
14926,Lamprotornis pulcher,Africa
4208,Podiceps cristatus,Europe
12443,Myzomela sanguinolenta,Oceania
326305,Arthroleptis stenodactylus,Africa
204449,Vidua paradisaea,Africa
14492,Pomatostomus temporalis,Oceania
45932,Petromus typicus,Africa
35738,Pedioplanis lineoocellata,Africa
41147,Macrotus californicus,North America
26745,Ambystoma texanum,North America
8399,Batis molitor,Africa
556645,Pelophylax lessonae,Europe
64985,Anaxyrus quercicus,North America
36149,Sceloporus torquatus,North America
3544,Columbina inca,North America
19262,Enicognathus ferrugineus,South America
41387,Balantiopteryx plicata,North America
36107,Urosaurus ornatus,North America
12063,Malurus elegans,Oceania
17328,Alectrurus risora,South America
8520,Nucifraga columbiana,North America
5430,Kaupifalco monogrammicus,Africa
14891,Toxostoma bendirei,North America
9602,Quiscalus quiscula,North America
36316,Phrynosoma douglasii,North America
6350,Lophornis ornatus,North America
13075,Luscinia luscinia,Europe
367693,Cassiculus melanicterus,North America
10373,Molothrus ater,North America
3813,Spheniscus demersus,Africa
17076,Cnemotriccus fuscatus,South America
13510,Sericornis frontalis,Oceania
512762,Buteo trizonatus,Africa
4805,Charadrius tricollaris,Africa
64973,Anaxyrus cognatus,North America
40908,Pteropus scapulatus,Oceania
25383,Phrynobatrachus natalensis,Africa
31299,Bronchocela jubata,Asia
64387,Paramesotriton hongkongensis,Asia
26159,Alligator mississippiensis,North America
204497,Cracticus torquatus,Oceania
1026,Tetrao urogallus,Europe
7178,Biziura lobata,Oceania
1850,Cacomantis flabelliformis,Oceania
72731,Cisticola fulvicapilla,Africa
14115,Plocepasser mahali,Africa
46471,Sorex minutus,Europe
558437,Spatula rhynchotis,Oceania
19568,Hydropsalis climacocerca,South America
6969,Anas gracilis,Oceania
880,Gallus sonneratii,Asia
72667,Chloropsis jerdoni,Asia
33155,Gambelia sila,North America
35046,Cacophis squamulosus,Oceania
25697,Rana graeca,Europe
4309,Phalacrocorax neglectus,Africa
9771,Pinicola enucleator,North America
32093,Boa constrictor,South America
472799,Bambusicola sonorivox,Asia
73224,Phoenicurus erythrogastrus,Europe
12329,Philemon corniculatus,Oceania
24379,Osteopilus dominicensis,North America
13820,Ploceus xanthops,Africa
32861,Trioceros deremensis,Africa
438022,Petroica boodang,Oceania
35161,Pseudechis australis,Oceania
1692,Centropus phasianinus,Oceania
43759,Bathyergus suillus,Africa
204473,Calandrella cinerea,Africa
23570,Litoria verreauxii,Oceania
3734,Platalea alba,Africa
4535,Anous stolidus,North America
6976,Anas sparsa,Africa
28948,Pseudaspis cana,Africa
96386,Cacomantis passerinus,Asia
43145,Lepus townsendii,North America
5920,Heliodoxa aurescens,South America
17174,Tachuris rubrigastra,South America
73475,Tchagra senegalus,Africa
29976,Helicops angulatus,South America
41090,Glossophaga soricina,North America
7497,Polioptila californica,North America
41774,Eira barbara,North America
8277,Dicrurus macrocercus,Asia
27123,Eurycea lucifuga,North America
144659,Coracias naevius,Africa
17009,Sayornis saya,North America
1264,Centrocercus urophasianus,North America
9152,Spizella pusilla,North America
36315,Phrynosoma hernandesi,North America
31244,Ctenophorus fionni,Oceania
27225,Plethodon dorsalis,North America
9549,Tangara cyanocephala,South America
8446,Tchagra australis,Africa
8079,Artamus fuscus,Asia
201113,Lalage melanoptera,Asia
37431,Trachylepis homalocephala,Africa
23968,Hyla chinensis,Asia
14012,Vidua regia,Africa
37465,Tiliqua occipitalis,Oceania
43375,Callithrix aurita,South America
54549,Pygoscelis antarcticus,"('Antarctica', 'Antarctica')"
24501,Bombina orientalis,Asia
29550,Lycodon travancoricus,Asia
204544,Montifringilla nivalis,Europe
8454,Platysteira cyanea,Africa
560425,Malayemys macrocephala,Asia
16079,Contopus sordidulus,North America
43840,Zapus hudsonius,North America
16782,Tyrannus tyrannus,North America
145085,Turdus simillimus,Asia
68339,Elaphe climacophora,Asia
42888,Macropus giganteus,Oceania
14169,Petroica goodenovii,Oceania
1630,Centropus superciliosus,Africa
47049,Parascalops breweri,North America
979665,Coracias benghalensis,Asia
145187,Cinnyris talatala,Africa
33142,Crotaphytus vestigium,North America
74443,Hydrochoerus isthmius,North America
145189,Cinnyris fuscus,Africa
31419,Pogona barbata,Oceania
6228,Coeligena helianthea,South America
12910,Saxicola caprata,Asia
7806,Climacteris rufus,Oceania
487,Fulica cristata,Africa
8847,Procnias tricarunculatus,North America
1289422,Argya affinis,Asia
14030,Uraeginthus cyanocephalus,Africa
5365,Gyps coprotheres,Africa
116868,Chaetops aurantius,Africa
43353,Tapirus terrestris,South America
460,Aramides ypecaha,South America
27818,Taricha torosa,North America
890,Bonasa umbellus,North America
25411,Cacosternum boettgeri,Africa
65987,Lithobates heckscheri,North America
29073,Philothamnus semivariegatus,Africa
2229,Merops orientalis,Asia
204523,Hypothymis azurea,Asia
15302,Sylvia borin,Europe
9296,Euphonia pectoralis,South America
25861,Occidozyga martensii,Asia
117097,Regulus ignicapilla,Europe
9081,Cardinalis sinuatus,North America
24462,Hemisus marmoratus,Africa
29310,Nerodia rhombifer,North America
4765,Coragyps atratus,North America
528911,Nebulifera robusta,Oceania
27500,Gyrinophilus porphyriticus,North America
7802,Climacteris picumnus,Oceania
12048,Lanius cabanisi,Africa
4729,Ibycter americanus,South America
111451,Python natalensis,Africa
518169,Sittiparus varius,Asia
40323,Myotis austroriparius,North America
5174,Circus maurus,Africa
35854,Lacerta viridis,Europe
25603,Rana zhenhaiensis,Asia
607212,Dasyprocta variegata,South America
38008,Eutropis multifasciata,Asia
10243,Icteria virens,North America
4569,Phaetusa simplex,South America
43047,Erinaceus amurensis,Asia
46217,Tamias striatus,North America
13709,Anthus rufulus,Asia
117079,Pterocles bicinctus,Africa
19182,Aratinga weddellii,South America
13540,Smicrornis brevirostris,Oceania
14635,Alophoixus pallidus,Asia
8912,Cotinga nattererii,North America
60348,Lampropeltis nigra,North America
44570,Rattus fuscipes,Oceania
13470,Acanthiza nana,Oceania
717903,Masticophis lateralis,North America
13272,Pogonocichla stellata,Africa
43848,Napaeozapus insignis,North America
7730,Prinia maculosa,Africa
116798,Acrocephalus gracilirostris,Africa
93486,Afrogecko porphyreus,Africa
30487,Naja nivea,Africa
36281,Sceloporus clarkii,North America
113754,Takydromus wolteri,Asia
225751,Neotamias rufus,North America
30285,Elaphe sauromates,Europe
7868,Oriolus auratus,Africa
24994,Breviceps montanus,Africa
